trace file : /sgl-workspace/sglang/development/loop10/runs/20260611_task7/case1_ds/torch/trace/1781184357.3177571/bs-29-il-4096-1781184357.325376-TP-0-DECODE.trace.json.gz
stage      : decode  (matched 8 staged files; 17 total)
events=144543  total GPU-kernel us=361824

=== CATEGORY ROLLUP (% of GPU-kernel time) ===
        tot_us      %     calls  category
         91956   25.4      3000  MoE
         77282   21.4     19462  other
         49782   13.8      3120  all-reduce
         40531   11.2      3130  attention
         36960   10.2      3078  DS-index/scoring
         24141    6.7      4760  GEMM/proj
         23139    6.4     10190  memcpy/set
         18034    5.0     11780  norm/rope/elementwise

=== TOP 30 KERNELS ===
        tot_us      %     calls  kernel
         88935   24.6      1500  fused_moe_kernel
         33785    9.3      1550  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtll
         30213    8.4       780  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::sparse_fp8::Ker
         23995    6.6      3180  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, tr
         22887    6.3       780  _logical_score_kernel
         18501    5.1      3120  _radix_hist_kernel
         14137    3.9       800  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::A
         13926    3.8      2250  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::TensorInfo<floa
         11143    3.1      1590  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 128u, 128u, 
          7469    2.1       780  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(CombineParams
          6536    1.8      1500  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float, true>, uns
          5831    1.6       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 128u, 128u, 
          5641    1.6      3120  _radix_scan_kernel
          5341    1.5      2350  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_co
          5190    1.4       750  triton_per_fused_copy__mul_sum_0
          4119    1.1       780  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 128u, 128u, 
          3918    1.1      4690  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1u
          3809    1.1       750  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
          3771    1.0      1500  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, fa
          3456    1.0       780  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_interna
          3017    0.8       780  nvjet_sm90_tst_64x8_64x16_1x2_h_bz_TNT
          2570    0.7       780  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
          2546    0.7       780  _emit_kernel
          2373    0.7       780  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind
          2206    0.6       790  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorB
          2121    0.6      1560  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at::native::Opa
          2092    0.6       780  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at::native::Opa
          1984    0.5       750  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned long, int*, b
          1874    0.5       780  _logical_to_physical_kernel
          1788    0.5       780  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16o
